皮肤ID,卡牌组ID,皮肤图片,皮肤图片名,下牌动画,提示文字,皮肤显示时间,是否是特殊异画皮肤,外框名,异画皮肤ICON点击TIPS,异画ICON文件名,皮肤短描述,皮肤长描述,获取途径,升级解锁皮肤等级,异画标记图片名,获得方式,部署音效,死亡音效,皮肤录像
210121,21012,ferocious_mask,凶恶面具,,,2023|1|1|0|0|0,0,skin_dec,,,引燃战士怒火的引子。,,,1,,,,,
240121,24012,ferocious_mask,凶恶面具,,,2023|1|1|0|0|0,0,skin_dec,,,引燃战士怒火的引子。,,,1,,,,,
250121,25012,ferocious_mask,凶恶面具,,,2023|1|1|0|0|0,0,skin_dec,,,引燃战士怒火的引子。,,,1,,,,,
260121,26012,ferocious_mask,凶恶面具,,,2023|1|1|0|0|0,0,skin_dec,,,引燃战士怒火的引子。,,,1,,,,,
210131,21013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
220131,22013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
230131,23013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
240131,24013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
250131,25013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
260131,26013,feather_cap,羽毛帽,,,2023|1|1|0|0|0,0,skin_dec,,,你绝不会希望戴着如此招摇的头盔飞入战场的。,,,1,,,,,
210141,21014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
220141,22014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
230141,23014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
240141,24014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
250141,25014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
260141,26014,ranged_barcers,反射护腕,,,2023|1|1|0|0|0,0,skin_dec,,,“先生，我们侦测到你携带了违禁物品。”--法师公会守卫,,,1,,,,,
210151,21015,spiked_helmet,法师帽,,,2023|1|1|0|0|0,0,skin_dec,,,“亲爱的客人，这件商品只有冬款。”--法师公会商店,,,1,,,,,
230151,23015,spiked_helmet,法师帽,,,2023|1|1|0|0|0,0,skin_dec,,,“亲爱的客人，这件商品只有冬款。”--法师公会商店,,,1,,,,,
250151,25015,spiked_helmet,法师帽,,,2023|1|1|0|0|0,0,skin_dec,,,“亲爱的客人，这件商品只有冬款。”--法师公会商店,,,1,,,,,
260151,26015,spiked_helmet,法师帽,,,2023|1|1|0|0|0,0,skin_dec,,,“亲爱的客人，这件商品只有冬款。”--法师公会商店,,,1,,,,,
210161,21016,fighting_gloves,格斗手套,,,2023|1|1|0|0|0,0,skin_dec,,,“告诉你一件有趣的事，蜥蜴一族都不戴手套。”--坏心眼的少年,,,1,,,,,
220161,22016,fighting_gloves,格斗手套,,,2023|1|1|0|0|0,0,skin_dec,,,“告诉你一件有趣的事，蜥蜴一族都不戴手套。”--坏心眼的少年,,,1,,,,,
240161,24016,fighting_gloves,格斗手套,,,2023|1|1|0|0|0,0,skin_dec,,,“告诉你一件有趣的事，蜥蜴一族都不戴手套。”--坏心眼的少年,,,1,,,,,
250161,25016,fighting_gloves,格斗手套,,,2023|1|1|0|0|0,0,skin_dec,,,“告诉你一件有趣的事，蜥蜴一族都不戴手套。”--坏心眼的少年,,,1,,,,,
260161,26016,fighting_gloves,格斗手套,,,2023|1|1|0|0|0,0,skin_dec,,,“告诉你一件有趣的事，蜥蜴一族都不戴手套。”--坏心眼的少年,,,1,,,,,
210171,21017,shield,羊皮盾,,,2023|1|1|0|0|0,0,skin_dec,,,“禁止携带羊皮盾。”--阿斯卡德牧场,,,1,,,,,
220171,22017,shield,羊皮盾,,,2023|1|1|0|0|0,0,skin_dec,,,“禁止携带羊皮盾。”--阿斯卡德牧场,,,1,,,,,
230171,23017,shield,羊皮盾,,,2023|1|1|0|0|0,0,skin_dec,,,“禁止携带羊皮盾。”--阿斯卡德牧场,,,1,,,,,
240171,24017,shield,羊皮盾,,,2023|1|1|0|0|0,0,skin_dec,,,“禁止携带羊皮盾。”--阿斯卡德牧场,,,1,,,,,
260171,26017,shield,羊皮盾,,,2023|1|1|0|0|0,0,skin_dec,,,“禁止携带羊皮盾。”--阿斯卡德牧场,,,1,,,,,
220181,22018,light_tiara,金冠,,,2023|1|1|0|0|0,0,skin_dec,,,“这玩意儿怎么用？”“面对阳光，闪瞎敌人。”,,,1,,,,,
230181,23018,light_tiara,金冠,,,2023|1|1|0|0|0,0,skin_dec,,,“这玩意儿怎么用？”“面对阳光，闪瞎敌人。”,,,1,,,,,
250181,25018,light_tiara,金冠,,,2023|1|1|0|0|0,0,skin_dec,,,“这玩意儿怎么用？”“面对阳光，闪瞎敌人。”,,,1,,,,,
260181,26018,light_tiara,金冠,,,2023|1|1|0|0|0,0,skin_dec,,,“这玩意儿怎么用？”“面对阳光，闪瞎敌人。”,,,1,,,,,
210191,21019,spiked_armor,尖刺护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“穿上它，往人堆里撞！”--巨人队长正在布置战术,,,1,,,,,
230191,23019,spiked_armor,尖刺护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“穿上它，往人堆里撞！”--巨人队长正在布置战术,,,1,,,,,
240191,24019,spiked_armor,尖刺护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“穿上它，往人堆里撞！”--巨人队长正在布置战术,,,1,,,,,
250191,25019,spiked_armor,尖刺护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“穿上它，往人堆里撞！”--巨人队长正在布置战术,,,1,,,,,
260191,26019,spiked_armor,尖刺护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“穿上它，往人堆里撞！”--巨人队长正在布置战术,,,1,,,,,
210201,21020,mirror_shield,魔法护盾,,,2023|4|20|0|0|0,0,skin_dec,,,猫人族工匠为战争阵营量身定做。,,,1,,,,,
220201,22020,mirror_shield,魔法护盾,,,2023|4|20|0|0|0,0,skin_dec,,,猫人族工匠为战争阵营量身定做。,,,1,,,,,
230201,23020,mirror_shield,魔法护盾,,,2023|4|20|0|0|0,0,skin_dec,,,猫人族工匠为战争阵营量身定做。,,,1,,,,,
250201,25020,mirror_shield,魔法护盾,,,2023|4|20|0|0|0,0,skin_dec,,,猫人族工匠为战争阵营量身定做。,,,1,,,,,
260201,26020,mirror_shield,魔法护盾,,,2023|4|20|0|0|0,0,skin_dec,,,猫人族工匠为战争阵营量身定做。,,,1,,,,,
210211,21021,captains_shield,领军盾牌,,,2023|1|1|0|0|0,0,skin_dec,,,“我是，王都之盾！”,,,1,,,,,
220211,22021,captains_shield,领军盾牌,,,2023|1|1|0|0|0,0,skin_dec,,,“我是，王都之盾！”,,,1,,,,,
230211,23021,captains_shield,领军盾牌,,,2023|1|1|0|0|0,0,skin_dec,,,“我是，王都之盾！”,,,1,,,,,
250211,25021,captains_shield,领军盾牌,,,2023|1|1|0|0|0,0,skin_dec,,,“我是，王都之盾！”,,,1,,,,,
260211,26021,captains_shield,领军盾牌,,,2023|1|1|0|0|0,0,skin_dec,,,“我是，王都之盾！”,,,1,,,,,
220221,22022,medusa_shield,美杜莎之盾,,,2023|1|1|0|0|0,0,skin_dec,,,“用美杜莎头做的盾牌？快让我瞧瞧！”--讨伐队长遗言,,,1,,,,,
230221,23022,medusa_shield,美杜莎之盾,,,2023|1|1|0|0|0,0,skin_dec,,,“用美杜莎头做的盾牌？快让我瞧瞧！”--讨伐队长遗言,,,1,,,,,
240221,24022,medusa_shield,美杜莎之盾,,,2023|1|1|0|0|0,0,skin_dec,,,“用美杜莎头做的盾牌？快让我瞧瞧！”--讨伐队长遗言,,,1,,,,,
260221,26022,medusa_shield,美杜莎之盾,,,2023|1|1|0|0|0,0,skin_dec,,,“用美杜莎头做的盾牌？快让我瞧瞧！”--讨伐队长遗言,,,1,,,,,
230231,23023,repair_plate,治愈板甲,,,2023|1|1|0|0|0,0,skin_dec,,,“它很好用，没有受伤时还能当按摩机用。”--铁匠老司机,,,1,,,,,
240231,24023,repair_plate,治愈板甲,,,2023|1|1|0|0|0,0,skin_dec,,,“它很好用，没有受伤时还能当按摩机用。”--铁匠老司机,,,1,,,,,
260231,26023,repair_plate,治愈板甲,,,2023|1|1|0|0|0,0,skin_dec,,,“它很好用，没有受伤时还能当按摩机用。”--铁匠老司机,,,1,,,,,
220241,22024,battle_tiara,战斗宝冠,,,2023|1|1|0|0|0,0,skin_dec,,,“我感觉今天会交好运呢！”--王都贵族,,,1,,,,,
230241,23024,battle_tiara,战斗宝冠,,,2023|1|1|0|0|0,0,skin_dec,,,“我感觉今天会交好运呢！”--王都贵族,,,1,,,,,
250241,25024,battle_tiara,战斗宝冠,,,2023|1|1|0|0|0,0,skin_dec,,,“我感觉今天会交好运呢！”--王都贵族,,,1,,,,,
260241,26024,battle_tiara,战斗宝冠,,,2023|1|1|0|0|0,0,skin_dec,,,“我感觉今天会交好运呢！”--王都贵族,,,1,,,,,
210251,21025,rock_armor,岩石护甲,,,2023|4|20|0|0|0,0,skin_dec,,,“不，你不能退货！你只要求坚固，没说是给人类穿的！”--断腿的铁匠,,,1,,,,,
220251,22025,rock_armor,岩石护甲,,,2023|4|20|0|0|0,0,skin_dec,,,“不，你不能退货！你只要求坚固，没说是给人类穿的！”--断腿的铁匠,,,1,,,,,
230251,23025,rock_armor,岩石护甲,,,2023|4|20|0|0|0,0,skin_dec,,,“不，你不能退货！你只要求坚固，没说是给人类穿的！”--断腿的铁匠,,,1,,,,,
240251,24025,rock_armor,岩石护甲,,,2023|4|20|0|0|0,0,skin_dec,,,“不，你不能退货！你只要求坚固，没说是给人类穿的！”--断腿的铁匠,,,1,,,,,
260251,26025,rock_armor,岩石护甲,,,2023|4|20|0|0|0,0,skin_dec,,,“不，你不能退货！你只要求坚固，没说是给人类穿的！”--断腿的铁匠,,,1,,,,,
210261,21026,armor_of_darkness,恶魔护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“成交，我要你的灵魂。”--恶魔领主,,,1,,,,,
220261,22026,armor_of_darkness,恶魔护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“成交，我要你的灵魂。”--恶魔领主,,,1,,,,,
230261,23026,armor_of_darkness,恶魔护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“成交，我要你的灵魂。”--恶魔领主,,,1,,,,,
250261,25026,armor_of_darkness,恶魔护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“成交，我要你的灵魂。”--恶魔领主,,,1,,,,,
260261,26026,armor_of_darkness,恶魔护甲,,,2023|1|1|0|0|0,0,skin_dec,,,“成交，我要你的灵魂。”--恶魔领主,,,1,,,,,
210271,21027,protector,保护者护甲,,,2030|1|1|0|0|0,0,skin_dec,,,狂澜龙虾坚甲制作的最强防御。,,,1,,,,,
220271,22027,protector,保护者护甲,,,2030|1|1|0|0|0,0,skin_dec,,,狂澜龙虾坚甲制作的最强防御。,,,1,,,,,
230271,23027,protector,保护者护甲,,,2030|1|1|0|0|0,0,skin_dec,,,狂澜龙虾坚甲制作的最强防御。,,,1,,,,,
240271,24027,protector,保护者护甲,,,2030|1|1|0|0|0,0,skin_dec,,,狂澜龙虾坚甲制作的最强防御。,,,1,,,,,
260271,26027,protector,保护者护甲,,,2030|1|1|0|0|0,0,skin_dec,,,狂澜龙虾坚甲制作的最强防御。,,,1,,,,,
230281,23028,infectious_armor,感染革甲,,,2023|1|1|0|0|0,0,skin_dec,,,给予攻击者最恶毒的还击。,,,1,,,,,
240281,24028,infectious_armor,感染革甲,,,2023|1|1|0|0|0,0,skin_dec,,,给予攻击者最恶毒的还击。,,,1,,,,,
260281,26028,infectious_armor,感染革甲,,,2023|1|1|0|0|0,0,skin_dec,,,给予攻击者最恶毒的还击。,,,1,,,,,
210291,21029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
220291,22029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
230291,23029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
240291,24029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
250291,25029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
260291,26029,wooden_bracers,木制护腕,,,2023|1|1|0|0|0,0,skin_dec,,,巡林客的最爱。,,,1,,,,,
210301,21030,berserk_glove,疯狂手套,,,2023|4|20|0|0|0,0,skin_dec,,,“记住，所有面向狂战士的商品都不能搞促销活动。”--地精商会箴言,,,1,,,,,
240301,24030,berserk_glove,疯狂手套,,,2023|4|20|0|0|0,0,skin_dec,,,“记住，所有面向狂战士的商品都不能搞促销活动。”--地精商会箴言,,,1,,,,,
250301,25030,berserk_glove,疯狂手套,,,2023|4|20|0|0|0,0,skin_dec,,,“记住，所有面向狂战士的商品都不能搞促销活动。”--地精商会箴言,,,1,,,,,
260301,26030,berserk_glove,疯狂手套,,,2023|4|20|0|0|0,0,skin_dec,,,“记住，所有面向狂战士的商品都不能搞促销活动。”--地精商会箴言,,,1,,,,,
220311,22031,deteriorate_glove,恶化手套,,,2023|4|20|0|0|0,0,skin_dec,,,轻触亦致命。,,,1,,,,,
240311,24031,deteriorate_glove,恶化手套,,,2023|4|20|0|0|0,0,skin_dec,,,轻触亦致命。,,,1,,,,,
250311,25031,deteriorate_glove,恶化手套,,,2023|4|20|0|0|0,0,skin_dec,,,轻触亦致命。,,,1,,,,,
260311,26031,deteriorate_glove,恶化手套,,,2023|4|20|0|0|0,0,skin_dec,,,轻触亦致命。,,,1,,,,,
220321,22032,boomerang_shield,回旋魔盾,,,2023|4|20|0|0|0,0,skin_dec,,,“我可以像这样打上一整天。”,,,1,,,,,
230321,23032,boomerang_shield,回旋魔盾,,,2023|4|20|0|0|0,0,skin_dec,,,“我可以像这样打上一整天。”,,,1,,,,,
250321,25032,boomerang_shield,回旋魔盾,,,2023|4|20|0|0|0,0,skin_dec,,,“我可以像这样打上一整天。”,,,1,,,,,
260321,26032,boomerang_shield,回旋魔盾,,,2023|4|20|0|0|0,0,skin_dec,,,“我可以像这样打上一整天。”,,,1,,,,,
220331,22033,commander_hat,指挥帽,,,2023|4|20|0|0|0,0,skin_dec,,,掌旗官的专属荣耀。,,,1,,,,,
230331,23033,commander_hat,指挥帽,,,2023|4|20|0|0|0,0,skin_dec,,,掌旗官的专属荣耀。,,,1,,,,,
240331,24033,commander_hat,指挥帽,,,2023|4|20|0|0|0,0,skin_dec,,,掌旗官的专属荣耀。,,,1,,,,,
260331,26033,commander_hat,指挥帽,,,2023|4|20|0|0|0,0,skin_dec,,,掌旗官的专属荣耀。,,,1,,,,,
210341,21034,dragon_helmet,巨龙头盔,,,2023|4|20|0|0|0,0,skin_dec,,,它威风凛凛，犹如龙王降临。,,,1,,,,,
230341,23034,dragon_helmet,巨龙头盔,,,2023|4|20|0|0|0,0,skin_dec,,,它威风凛凛，犹如龙王降临。,,,1,,,,,
240341,24034,dragon_helmet,巨龙头盔,,,2023|4|20|0|0|0,0,skin_dec,,,它威风凛凛，犹如龙王降临。,,,1,,,,,
250341,25034,dragon_helmet,巨龙头盔,,,2023|4|20|0|0|0,0,skin_dec,,,它威风凛凛，犹如龙王降临。,,,1,,,,,
260341,26034,dragon_helmet,巨龙头盔,,,2023|4|20|0|0|0,0,skin_dec,,,它威风凛凛，犹如龙王降临。,,,1,,,,,
230351,23035,magic_suit,魔力套装,,,2023|4|20|0|0|0,0,skin_dec,,,法师公会的至高杰作。,,,1,,,,,
250351,25035,magic_suit,魔力套装,,,2023|4|20|0|0|0,0,skin_dec,,,法师公会的至高杰作。,,,1,,,,,
260351,26035,magic_suit,魔力套装,,,2023|4|20|0|0|0,0,skin_dec,,,法师公会的至高杰作。,,,1,,,,,
220361,22036,darts,淬毒飞镖,,,2023|1|1|0|0|0,0,skin_dec,,,其附着的魔力在危急时刻可用于防身。,,,1,,,,,
240361,24036,darts,淬毒飞镖,,,2023|1|1|0|0|0,0,skin_dec,,,其附着的魔力在危急时刻可用于防身。,,,1,,,,,
260361,26036,darts,淬毒飞镖,,,2023|1|1|0|0|0,0,skin_dec,,,其附着的魔力在危急时刻可用于防身。,,,1,,,,,
210371,21037,samurai_helmet,武士头盔,,,2023|4|20|0|0|0,0,skin_dec,,,自带吓人用恐怖鬼面。,,,1,,,,,
230371,23037,samurai_helmet,武士头盔,,,2023|4|20|0|0|0,0,skin_dec,,,自带吓人用恐怖鬼面。,,,1,,,,,
240371,24037,samurai_helmet,武士头盔,,,2023|4|20|0|0|0,0,skin_dec,,,自带吓人用恐怖鬼面。,,,1,,,,,
250371,25037,samurai_helmet,武士头盔,,,2023|4|20|0|0|0,0,skin_dec,,,自带吓人用恐怖鬼面。,,,1,,,,,
260371,26037,samurai_helmet,武士头盔,,,2023|4|20|0|0|0,0,skin_dec,,,自带吓人用恐怖鬼面。,,,1,,,,,
210381,21038,helmet6,突击重盔,,,2023|4|20|0|0|0,0,skin_dec,,,重型铠甲不仅可以增加冲锋时的安全性，更可提高撞击力。,,,1,,,,,
220391,22039,crystal_ball,占卜球,,,2023|4|20|0|0|0,0,skin_dec,,,窥视未来是一件很危险的事，所以我通常只用它来查看骰子的点数。,,,1,,,,,
250401,25040,black_armor,黑骑士铠甲,,,2023|4|20|0|0|0,0,skin_dec,,,究竟是铠甲因骑士的堕落而被诅咒，还是诅咒的铠甲令穿着的骑士堕落？,,,1,,,,,
230411,23041,bronzeshield,铜盾,,,2023|4|20|0|0|0,0,skin_dec,,,护在身前，小心前行。,,,1,,,,,
240411,24041,bronzeshield,铜盾,,,2023|4|20|0|0|0,0,skin_dec,,,护在身前，小心前行。,,,1,,,,,
250411,25041,bronzeshield,铜盾,,,2023|4|20|0|0|0,0,skin_dec,,,护在身前，小心前行。,,,1,,,,,
260411,26041,bronzeshield,铜盾,,,2023|4|20|0|0|0,0,skin_dec,,,护在身前，小心前行。,,,1,,,,,
220421,22042,clericalcrown,牧师之冠,,,2023|10|16|0|0|0,0,skin_dec,,,礼仪的象征。,,,1,,,,,
230421,23042,clericalcrown,牧师之冠,,,2023|10|16|0|0|0,0,skin_dec,,,礼仪的象征。,,,1,,,,,
240421,24042,clericalcrown,牧师之冠,,,2023|10|16|0|0|0,0,skin_dec,,,礼仪的象征。,,,1,,,,,
260421,26042,clericalcrown,牧师之冠,,,2023|10|16|0|0|0,0,skin_dec,,,礼仪的象征。,,,1,,,,,
220431,22043,ninja_suit,忍者服,,,2023|4|20|0|0|0,0,skin_dec,,,穿上它，你就可以遁入黑暗。,,,1,,,,,
250431,25043,ninja_suit,忍者服,,,2023|4|20|0|0|0,0,skin_dec,,,穿上它，你就可以遁入黑暗。,,,1,,,,,
260431,26043,ninja_suit,忍者服,,,2023|4|20|0|0|0,0,skin_dec,,,穿上它，你就可以遁入黑暗。,,,1,,,,,
210441,21044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
220441,22044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
230441,23044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
240441,24044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
250441,25044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
260441,26044,heroic_elfwoodvambrace,树精护腕,,,2023|4|20|0|0|0,0,skin_dec,,,古树们将自己的枝叶做成护腕，奖励那些丛林的卫士们。,,,1,,,,,
220451,22045,red_robe,红斗篷,,,2023|10|25|0|0|0,0,skin_dec,,,斗牛专用。,,,1,,,,,
230451,23045,red_robe,红斗篷,,,2023|10|25|0|0|0,0,skin_dec,,,斗牛专用。,,,1,,,,,
250451,25045,red_robe,红斗篷,,,2023|10|25|0|0|0,0,skin_dec,,,斗牛专用。,,,1,,,,,
260451,26045,red_robe,红斗篷,,,2023|10|25|0|0|0,0,skin_dec,,,斗牛专用。,,,1,,,,,
210461,21046,berserkermail,狂战士锁甲,,,2023|12|16|0|0|0,0,skin_dec,,,穿上就能如狂战士一样的战斗！,,,1,,,,,
240461,24046,berserkermail,狂战士锁甲,,,2023|12|16|0|0|0,0,skin_dec,,,穿上就能如狂战士一样的战斗！,,,1,,,,,
250461,25046,berserkermail,狂战士锁甲,,,2023|12|16|0|0|0,0,skin_dec,,,穿上就能如狂战士一样的战斗！,,,1,,,,,
260461,26046,berserkermail,狂战士锁甲,,,2023|12|16|0|0|0,0,skin_dec,,,穿上就能如狂战士一样的战斗！,,,1,,,,,
210471,21047,hornedhelm,维京战盔,,,2023|4|20|0|0|0,0,skin_dec,,,尖尖的角可以戳穿敌人的铠甲！如果你真的那么去做的话……,,,1,,,,,
220471,22047,hornedhelm,维京战盔,,,2023|4|20|0|0|0,0,skin_dec,,,尖尖的角可以戳穿敌人的铠甲！如果你真的那么去做的话……,,,1,,,,,
240471,24047,hornedhelm,维京战盔,,,2023|4|20|0|0|0,0,skin_dec,,,尖尖的角可以戳穿敌人的铠甲！如果你真的那么去做的话……,,,1,,,,,
260471,26047,hornedhelm,维京战盔,,,2023|4|20|0|0|0,0,skin_dec,,,尖尖的角可以戳穿敌人的铠甲！如果你真的那么去做的话……,,,1,,,,,
310011,31001,short_sword,短剑,,,2023|1|1|0|0|0,0,skin_dec,,,不管怎么说，总算是个真家伙。,,,1,,,,,
320011,32001,short_sword,短剑,,,2023|1|1|0|0|0,0,skin_dec,,,不管怎么说，总算是个真家伙。,,,1,,,,,
340011,34001,short_sword,短剑,,,2023|1|1|0|0|0,0,skin_dec,,,不管怎么说，总算是个真家伙。,,,1,,,,,
350011,35001,short_sword,短剑,,,2023|1|1|0|0|0,0,skin_dec,,,不管怎么说，总算是个真家伙。,,,1,,,,,
360011,36001,short_sword,短剑,,,2023|1|1|0|0|0,0,skin_dec,,,不管怎么说，总算是个真家伙。,,,1,,,,,
310021,31002,short_bow,短弓,,,2023|1|1|0|0|0,0,skin_dec,,,短弓轻便易用，是许多女性猎人和半身人的首选。,,,1,,,,,
320021,32002,short_bow,短弓,,,2023|1|1|0|0|0,0,skin_dec,,,短弓轻便易用，是许多女性猎人和半身人的首选。,,,1,,,,,
330021,33002,short_bow,短弓,,,2023|1|1|0|0|0,0,skin_dec,,,短弓轻便易用，是许多女性猎人和半身人的首选。,,,1,,,,,
340021,34002,short_bow,短弓,,,2023|1|1|0|0|0,0,skin_dec,,,短弓轻便易用，是许多女性猎人和半身人的首选。,,,1,,,,,
360021,36002,short_bow,短弓,,,2023|1|1|0|0|0,0,skin_dec,,,短弓轻便易用，是许多女性猎人和半身人的首选。,,,1,,,,,
320031,32003,oak_staff,橡木法杖,,,2023|1|1|0|0|0,0,skin_dec,,,“恭喜你成为法师学徒！”--橡木法杖授予仪式,,,1,,,,,
330031,33003,oak_staff,橡木法杖,,,2023|1|1|0|0|0,0,skin_dec,,,“恭喜你成为法师学徒！”--橡木法杖授予仪式,,,1,,,,,
340031,34003,oak_staff,橡木法杖,,,2023|1|1|0|0|0,0,skin_dec,,,“恭喜你成为法师学徒！”--橡木法杖授予仪式,,,1,,,,,
350031,35003,oak_staff,橡木法杖,,,2023|1|1|0|0|0,0,skin_dec,,,“恭喜你成为法师学徒！”--橡木法杖授予仪式,,,1,,,,,
360031,36003,oak_staff,橡木法杖,,,2023|1|1|0|0|0,0,skin_dec,,,“恭喜你成为法师学徒！”--橡木法杖授予仪式,,,1,,,,,
310041,31004,violent_boots,野蛮战靴,,,2023|1|1|0|0|0,0,skin_dec,,,兽人族爆款战靴。,,,1,,,,,
340041,34004,violent_boots,野蛮战靴,,,2023|1|1|0|0|0,0,skin_dec,,,兽人族爆款战靴。,,,1,,,,,
350041,35004,violent_boots,野蛮战靴,,,2023|1|1|0|0|0,0,skin_dec,,,兽人族爆款战靴。,,,1,,,,,
360041,36004,violent_boots,野蛮战靴,,,2023|1|1|0|0|0,0,skin_dec,,,兽人族爆款战靴。,,,1,,,,,
320051,32005,light_shoes,飞鞋,,,2023|1|1|0|0|0,0,skin_dec,,,仅限一百公斤以内的生物使用。,,,1,,,,,
330051,33005,light_shoes,飞鞋,,,2023|1|1|0|0|0,0,skin_dec,,,仅限一百公斤以内的生物使用。,,,1,,,,,
340051,34005,light_shoes,飞鞋,,,2023|1|1|0|0|0,0,skin_dec,,,仅限一百公斤以内的生物使用。,,,1,,,,,
350051,35005,light_shoes,飞鞋,,,2023|1|1|0|0|0,0,skin_dec,,,仅限一百公斤以内的生物使用。,,,1,,,,,
360051,36005,light_shoes,飞鞋,,,2023|1|1|0|0|0,0,skin_dec,,,仅限一百公斤以内的生物使用。,,,1,,,,,
320061,32006,ring_of_poison,翡翠戒指,,,2023|1|1|0|0|0,0,skin_dec,,,我有十个手指却只能戴一个戒指。,,,1,,,,,
340061,34006,ring_of_poison,翡翠戒指,,,2023|1|1|0|0|0,0,skin_dec,,,我有十个手指却只能戴一个戒指。,,,1,,,,,
360061,36006,ring_of_poison,翡翠戒指,,,2023|1|1|0|0|0,0,skin_dec,,,我有十个手指却只能戴一个戒指。,,,1,,,,,
310071,31007,long_sword,长剑,,,2023|1|1|0|0|0,0,skin_dec,,,骑士荣耀的象征。,,,1,,,,,
320071,32007,long_sword,长剑,,,2023|1|1|0|0|0,0,skin_dec,,,骑士荣耀的象征。,,,1,,,,,
340071,34007,long_sword,长剑,,,2023|1|1|0|0|0,0,skin_dec,,,骑士荣耀的象征。,,,1,,,,,
350071,35007,long_sword,长剑,,,2023|1|1|0|0|0,0,skin_dec,,,骑士荣耀的象征。,,,1,,,,,
360071,36007,long_sword,长剑,,,2023|1|1|0|0|0,0,skin_dec,,,骑士荣耀的象征。,,,1,,,,,
320081,32008,lucky_shoes,幸运靴,,,2023|1|1|0|0|0,0,skin_dec,,,“你运气真好！这是最后一双了，半价卖给你吧！”,,,1,,,,,
330081,33008,lucky_shoes,幸运靴,,,2023|1|1|0|0|0,0,skin_dec,,,“你运气真好！这是最后一双了，半价卖给你吧！”,,,1,,,,,
350081,35008,lucky_shoes,幸运靴,,,2023|1|1|0|0|0,0,skin_dec,,,“你运气真好！这是最后一双了，半价卖给你吧！”,,,1,,,,,
